12	R	3300
10	J	3320
12	J	3320
10	R	3320
10	W	3320
11	R	3320
11	J	3340
9	R	3340
9	J	3360
13	R	3360
13	J	3380
12	R	3380
12	J	3400
11	R	3400
11	J	3420
9	R	3420
10	J	3440
9	J	3440
10	R	3440
10	W	3440
13	R	3440
13	J	3460
12	R	3460
12	W	3460
11	R	3460
11	J	3480
9	R	3480
9	J	3500
13	R	3500
13	J	3520
11	R	3520
11	J	3540
9	R	3540
9	J	3560
13	R	3560
12	J	3580
13	J	3580
12	R	3580
12	W	3580
11	R	3580
11	J	3600
9	R	3600
9	J	3620
13	R	3620
13	J	3640
11	R	3640
11	J	3660
9	R	3660
9	J	3680
13	R	3680
12	J	3700
13	J	3700
12	R	3700
12	W	3700
11	R	3700
11	J	3720
9	R	3720
9	J	3740
13	R	3740
13	W	3740
11	R	3740
11	J	3760
9	R	3760
9	J	3780
11	R	3780
11	J	3800
9	R	3800
12	J	3820
9	J	3820
12	R	3820
12	W	3820
11	R	3820
11	J	3840
9	R	3840
13	J	3860
9	J	3860
13	R	3860
13	W	3860
11	R	3860
11	J	3880
9	R	3880
9	J	3900
11	R	3900
11	J	3920
9	R	3920
12	J	3940
9	J	3940
12	R	3940
12	W	3940
11	R	3940
11	W	3941
9	R	3941
13	J	3961
9	J	3961
13	R	3961
13	W	3961
9	R	3961
12	J	4041
9	J	4041
12	R	4041
12	W	4041
9	R	4041
11	J	4061
9	J	4061
11	R	4061
11	W	4061
9	R	4061
13	J	4081
9	J	4081
13	R	4081
13	W	4081
9	R	4081
12	J	4161
9	J	4161
12	R	4161
12	W	4161
9	R	4161
11	J	4181
9	J	4181
11	R	4181
11	W	4181
9	R	4181
13	J	4201
9	J	4201
13	R	4201
13	W	4201
9	R	4201
12	J	4281
9	J	4281
12	R	4281
12	E	4281
9	R	4281
11	J	4301
9	J	4301
11	R	4301
11	W	4301
9	R	4301
13	J	4321
9	J	4321
13	R	4321
13	W	4321
9	R	4321
11	J	4421
9	J	4421
11	R	4421
11	W	4421
9	R	4421
13	J	4441
9	J	4441
13	R	4441
13	E	4441
9	R	4441
9	E	4442
8	J	4442
8	R	4442
8	W	4442
0	R	4442
11	J	4522
11	R	4522
11	E	4522
10	J	4522
10	R	4522
10	E	4523
8	J	4523
8	R	4523
8	E	4523
4	J	4523
4	R	4523
14	N	4524
14	J	4524
4	W	4525
14	R	4525
4	J	4527
14	E	4527
4	R	4527
4	W	4528
0	R	4528
4	J	5139
4	R	5139
4	W	5139
0	R	5139
4	J	5214
4	R	5214
4	W	5214
0	R	5214
4	J	5221
4	R	5221
4	W	5221
0	R	5221
4	J	5262
4	R	5262
4	W	5263
0	R	5263
4	J	5345
4	R	5345
4	W	5345
0	R	5345
4	J	5402
4	R	5402
4	W	5402
0	R	5402
4	J	5451
4	R	5451
4	W	5451
0	R	5451
4	J	5546
4	R	5546
4	W	5546
0	R	5546
4	J	5657
4	R	5657
15	N	5658
15	J	5659
4	W	5659
15	R	5659
